id	category	question	option1	option2	option3	option4	answer	explanation	imageUrl
401	전기이론	전류의 발열작용에 관한 법칙으로 가장 알맞은 것은?	옴의 법칙	패러데이의 법칙	줄의 법칙	키르히호프의 법칙	3	도선에 전류가 흐르면 열이 발생한다 - 줄의법칙	
402	전기이론	1㎌, 3㎌, 6㎌의 콘덴서 3개를 병렬로 연결할 때 합성 정전용량?	1.5㎌	5㎌	10㎌	18㎌	3	콘덴서는 병렬로 연결되어 있으면 그 값을 모두 더한다	
403	전기이론	R-L 직렬회로의 시정수 τ[s]는?	L/R [s]	R/L [s]	RL[s]	1/RL [s]	1	RL 직렬회로의 시정수는 τ=L/R	
404	전기이론	전기저항 25Ω에 50V의 사인파 전압을 가할 때 전류의 순시값은?	2sin377t[A]	2√2 sin377t[A]	4sin377t[A]	4√2 sin377t[A]	2	I=V/Z 계산	
405	전기이론	1.5V의 전위차로 3A의 전류가 3분 동안 흘렀을 때 한 일은?	1.5[J]	13.5[J]	810[J]	2430[J]	3	W=Pt=1.5×3×3×60=810[J]	
406	전기이론	진공 중 두 점전하 사이에 작용하는 힘은?	9×10^2[N]	18×10^-2[N]	9×10^-1[N]	18×10^-1[N]	3	쿨롱의 법칙	
407	전기이론	동선의 길이를 2배로 늘리면 저항은 몇 배?	2배	4배	8배	16배	2	체적 일정 시 길이 2배면 단면적 1/2	
408	전기이론	저항 2Ω과 3Ω을 직렬로 접속했을 때의 합성컨덕턴스는?	0.2	1.5	5	6	1	G=1/R=1/5=0.2	
409	전기이론	두 코일의 상호 인덕턴스는?	20mH	40mH	80mH	160mH	1	L=L1+L2±2M	
410	전기이론	계전기 접점의 불꽃 소거용은?	서미스터	바리스터	터널 다이오드	제너 다이오드	2	바리스터 사용	
501	전기이론	자체 인덕턴스가 40mH와 90mH인 두 코일의 상호 인덕턴스는?	50[mH]	60[mH]	65[mH]	130[mH]	2	M=√(L1×L2)	
502	전기이론	R-L 직렬회로에서 R=20Ω, L=10H인 경우 시정수는?	0.005[s]	0.5[s]	2[s]	200[s]	2	τ=L/R=10/20	
503	전기이론	펠티에 효과란?	펠티에 효과	지벡 효과	홀 효과	줄 효과	1	접점에서 열 발생/흡수	
504	전기이론	등전위면과 전기력선의 교차 관계는?	30°로 교차	45°로 교차	직각으로 교차	교차하지 않음	3	항상 직각	
505	전기이론	자기저항의 단위는?	[AT/m]	[Wb/AT]	[AT/Wb]	[Ω/AT]	3	Rm=l/(μS)	
506	전기이론	교류 회로에서 전압과 전류의 위상차를 θ라 할 때 cosθ는?	전압 변동률	왜곡률	효율	역률	4	power factor	
507	전기이론	자극에 작용하는 기자력은?	8×10^-4[N]	8[N]	125[N]	1250[N]	2	F=mH	
508	전기이론	임피던스 Z=6+j8Ω에서 컨덕턴스는?	0.06	0.08	0.1	1.0	1	G=R/(R²+X²)	
509	전기이론	물질 중의 자유전자가 과잉된 상태란?	(-) 대전상태	발열상태	중성상태	(+) 대전상태	1	음전하	
510	전기이론	성형 결선에서 상전압이 115V일 때 선간 전압은?	약 100[V]	150[V]	약 200[V]	약 250[V]	3	√3×115≈200V	
